Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Fashion Designers,"19,310",40.22,"83,650",37.24,"77,450"
Floral Designers,"36,000",15.43,"32,100",14.36,"29,880"
Graphic Designers,"204,040",28.83,"59,970",24.38,"50,710"
Interior Designers,"61,970",30.08,"62,570",29.01,"60,340"
Merchandise Displayers and Window Trimmers,"159,790",17.08,"35,520",15.41,"32,060"
Set and Exhibit Designers,"6,850",30.27,"62,960",26.37,"54,860"
"Designers, All Other","10,190",35.33,"73,480",29.96,"62,310"
"Entertainers and Performers, Sports and Related Workers","438,600",34.55,"71,870",23.78,"49,470"
"Actors, Producers, and Directors","168,350",45.85,"95,360",37.06,"77,080"
Actors,"30,100",31.31,*,23.48,*
Producers and Directors,"138,250",49.01,"101,950",37.98,"79,000"
"Athletes, Coaches, Umpires, and Related Workers","215,690",*,"54,390",*,"39,290"
Athletes and Sports Competitors,"12,320",*,"116,930",*,"77,300"
Coaches and Scouts,"193,740",*,"50,550",*,"38,970"
"Umpires, Referees, and Other Sports Officials","9,620",*,"51,710",*,"35,860"
Dancers and Choreographers,"7,850",24.17,"50,280",19.47,"40,500"
Dancers,"3,850",24.49,*,18.78,*
Choreographers,"3,990",23.86,"49,630",20.53,"42,700"
"Musicians, Singers, and Related Workers","33,640",38.57,*,29.35,*
Music Directors and Composers,"9,560",31.29,"65,080",23.62,"49,130"
Musicians and Singers,"24,080",41.46,*,30.49,*
"Miscellaneous Entertainers and Performers, Sports and Related Workers","13,070",23.60,*,17.59,*
"Disc Jockeys, Except Radio","4,770",21.82,*,15.70,*
"Entertainers and Performers, Sports and Related Workers, All Other","8,300",24.62,*,17.96,*
Media and Communication Workers,"573,200",34.50,"71,760",29.97,"62,340"
Broadcast Announcers and Radio Disc Jockeys,"24,580",26.97,"56,110",18.09,"37,630"
"News Analysts, Reporters and Journalists","39,080",30.40,"63,230",23.26,"48,370"
"News Analysts, Reporters, and Journalists","39,080",30.40,"63,230",23.26,"48,370"
Public Relations Specialists,"242,710",35.22,"73,250",30.19,"62,800"
Writers and Editors,"185,810",37.96,"78,950",34.44,"71,640"
Editors,"88,780",36.73,"76,400",30.46,"63,350"
Technical Writers,"47,620",39.17,"81,470",37.53,"78,060"
Writers and Authors,"49,410",39.00,"81,120",33.42,"69,510"
Miscellaneous Media and Communication Workers,"81,010",28.68,"59,650",24.03,"49,980"
Interpreters and Translators,"52,170",28.08,"58,400",23.61,"49,110"
Court Reporters and Simultaneous Captioners,"12,300",31.36,"65,240",29.03,"60,380"
"Media and Communication Workers, All Other","16,540",28.56,"59,400",23.99,"49,900"
Media and Communication Equipment Workers,"194,350",28.35,"58,970",23.52,"48,920"
"Broadcast, Sound, and Lighting Technicians","90,940",26.80,"55,750",23.46,"48,790"
Audio and Video Technicians,"50,590",26.59,"55,310",23.47,"48,820"
Broadcast Technicians,"25,270",24.66,"51,280",21.51,"44,740"
Sound Engineering Technicians,"10,800",32.38,"67,360",29.09,"60,500"
Lighting Technicians,"4,280",27.89,"58,020",24.75,"51,470"
Photographers,"38,420",23.18,"48,210",18.73,"38,950"
"Television, Video, and Film Camera Operators and Editors","48,320",33.66,"70,020",29.02,"60,360"
"Camera Operators, Television, Video, and Film","20,280",29.69,"61,740",23.67,"49,230"
Film and Video Editors,"28,030",36.54,"76,000",30.13,"62,680"
Miscellaneous Media and Communication Equipment Workers,"16,670",33.31,"69,290",30.41,"63,250"
"Media and Communication Equipment Workers, All Other","16,670",33.31,"69,290",30.41,"63,250"
Healthcare Practitioners and Technical Occupations,"8,787,730",43.80,"91,100",36.08,"75,040"
Healthcare Diagnosing or Treating Practitioners,"5,772,460",53.92,"112,160",39.07,"81,270"
Chiropractors,"35,810",39.06,"81,240",36.06,"75,000"
Dentists,"124,680",85.47,"177,770",78.47,"163,220"
"Dentists, General","108,680",80.37,"167,160",77.10,"160,370"
Oral and Maxillofacial Surgeons,"5,330",149.74,"311,460",#,#
Orthodontists,"5,140",128.50,"267,280",#,#
Prosthodontists,790,69.10,"143,730",48.54,"100,950"
"Dentists, All Other Specialists","4,750",86.25,"179,400",84.21,"175,160"
Dietitians and Nutritionists,"66,690",31.55,"65,620",29.64,"61,650"
Optometrists,"38,720",60.31,"125,440",59.76,"124,300"
Pharmacists,"312,550",60.43,"125,690",61.81,"128,570"
Physician Assistants,"132,940",57.43,"119,460",58.43,"121,530"
Podiatrists,"8,840",76.15,"158,380",70.11,"145,840"
Therapists,"687,440",40.42,"84,080",37.82,"78,670"
Occupational Therapists,"127,830",43.02,"89,470",41.14,"85,570"
Physical Therapists,"225,350",44.67,"92,920",45.97,"95,620"
Radiation Therapists,"16,050",45.19,"94,000",39.80,"82,790"
Recreational Therapists,"16,980",25.91,"53,900",23.05,"47,940"
Respiratory Therapists,"133,410",32.78,"68,190",29.73,"61,830"
Speech-Language Pathologists,"147,470",41.26,"85,820",38.01,"79,060"
Exercise Physiologists,"6,860",25.98,"54,030",23.05,"47,940"
"Therapists, All Other","13,490",31.26,"65,030",28.61,"59,500"
Veterinarians,"77,260",52.84,"109,920",48.26,"100,370"
Registered Nurses,"3,047,530",39.78,"82,750",37.31,"77,600"
Nurse Anesthetists,"43,950",97.34,"202,470",94.04,"195,610"
Nurse Midwives,"7,750",54.91,"114,210",54.24,"112,830"
Nurse Practitioners,"234,690",56.75,"118,040",58.02,"120,680"
Audiologists,"13,240",41.37,"86,050",37.96,"78,950"
Physicians,"641,380",121.38,"252,480",#,#
Anesthesiologists,"31,130",159.22,"331,190",#,#
Cardiologists,"18,610",170.18,"353,970",#,#
Dermatologists,"9,230",145.55,"302,740",#,#
Emergency Medicine Physicians,"36,180",149.35,"310,640",#,#
Family Medicine Physicians,"102,930",113.43,"235,930",#,#
General Internal Medicine Physicians,"58,260",116.44,"242,190",#,#
Neurologists,"7,120",128.68,"267,660",#,#
Obstetricians and Gynecologists,"21,570",142.41,"296,210",#,#
"Pediatricians, General","33,620",95.40,"198,420",81.96,"170,480"
"Physicians, Pathologists","11,010",128.45,"267,180",#,#
Psychiatrists,"25,520",120.08,"249,760",#,#
Radiologists,"29,530",145.06,"301,720",#,#
"Physicians, All Other","256,670",111.30,"231,500",#,#
Surgeons,"58,280",141.60,"294,520",#,#
"Ophthalmologists, Except Pediatric","11,610",129.85,"270,090",#,#
"Orthopedic Surgeons, Except Pediatric","16,260",147.22,"306,220",#,#
Pediatric Surgeons,820,139.57,"290,310",#,#
"Surgeons, All Other","29,590",143.17,"297,800",#,#
Miscellaneous Healthcare Diagnosing or Treating Practitioners,"240,690",40.65,"84,550",37.45,"77,900"
Acupuncturists,"7,250",34.51,"71,770",29.12,"60,570"
Dental Hygienists,"207,190",39.12,"81,360",37.41,"77,810"
"Healthcare Diagnosing or Treating Practitioners, All Other","26,250",54.44,"113,230",48.22,"100,300"
Health Technologists and Technicians,"2,887,210",24.18,"50,300",22.55,"46,910"
Clinical Laboratory Technologists and Technicians,"318,780",27.36,"56,910",27.79,"57,800"
Diagnostic Related Technologists and Technicians,"408,390",34.03,"70,780",32.26,"67,100"
Cardiovascular Technologists and Technicians,"55,760",29.82,"62,020",29.12,"60,570"
Diagnostic Medical Sonographers,"78,640",38.79,"80,680",37.38,"77,740"
Nuclear Medicine Technologists,"17,140",40.79,"84,850",37.86,"78,760"
Radiologic Technologists and Technicians,"216,380",31.97,"66,490",29.50,"61,370"
Magnetic Resonance Imaging Technologists,"38,070",37.41,"77,820",37.19,"77,360"
Medical Dosimetrists,"2,400",59.98,"124,750",61.19,"127,270"
Emergency Medical Technicians and Paramedics,"257,910",19.94,"41,480",17.76,"36,930"
Emergency Medical Technicians,"161,400",17.64,"36,690",17.05,"35,470"
Paramedics,"96,510",23.80,"49,500",22.48,"46,770"
Health Practitioner Support Technologists and Technicians,"845,080",19.31,"40,170",17.78,"36,980"
Dietetic Technicians,"21,610",16.42,"34,160",14.19,"29,520"
Pharmacy Technicians,"436,630",18.25,"37,970",17.66,"36,740"
Psychiatric Technicians,"93,410",18.27,"38,000",17.58,"36,570"
Surgical Technologists,"109,060",25.77,"53,590",23.33,"48,530"
Veterinary Technologists and Technicians,"118,670",18.39,"38,250",17.72,"36,850"
Ophthalmic Medical Technicians,"65,700",19.77,"41,120",17.87,"37,180"
Licensed Practical and Licensed Vocational Nurses,"641,240",24.93,"51,850",23.11,"48,070"
Medical Records Specialists,"180,570",23.23,"48,310",22.43,"46,660"
"Opticians, Dispensing","73,270",20.70,"43,060",18.06,"37,570"
Miscellaneous Health Technologists and Technicians,"161,980",24.96,"51,910",22.42,"46,640"
Orthotists and Prosthetists,"10,410",38.38,"79,820",36.27,"75,440"
Hearing Aid Specialists,"10,790",28.83,"59,960",28.61,"59,500"
"Health Technologists and Technicians, All Other","140,770",23.67,"49,230",21.98,"45,720"
Other Healthcare Practitioners and Technical Occupations,"128,060",29.55,"61,470",26.19,"54,480"
Health Information Technologists and Medical Registrars,"37,900",29.53,"61,410",26.71,"55,560"
Miscellaneous Health Practitioners and Technical Workers,"90,160",29.56,"61,490",25.97,"54,010"
Athletic Trainers,"26,070",*,"54,650",*,"48,420"
Genetic Counselors,"2,740",41.65,"86,640",38.54,"80,150"
Surgical Assistants,"17,250",28.45,"59,170",23.23,"48,320"
"Healthcare Practitioners and Technical Workers, All Other","44,100",31.19,"64,880",28.25,"58,750"
Healthcare Support Occupations,"6,603,680",16.02,"33,330",14.37,"29,880"
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides","4,765,620",14.64,"30,440",14.24,"29,620"
Home Health and Personal Care Aides,"3,366,480",14.07,"29,260",14.15,"29,430"
"Nursing Assistants, Orderlies, and Psychiatric Aides","1,399,130",16.01,"33,290",14.56,"30,290"
Nursing Assistants,"1,314,830",15.99,"33,250",14.57,"30,310"
Orderlies,"45,160",16.08,"33,440",14.42,"29,990"
Psychiatric Aides,"39,140",16.65,"34,640",14.55,"30,260"
Occupational Therapy and Physical Therapist Assistants and Aides,"181,410",25.91,"53,900",27.87,"57,980"
Occupational Therapy Assistants and Aides,"45,350",29.69,"61,760",29.58,"61,520"
Occupational Therapy Assistants,"41,980",30.56,"63,560",29.68,"61,730"
Occupational Therapy Aides,"3,370",18.86,"39,230",16.14,"33,560"
Physical Therapist Assistants and Aides,"136,050",24.65,"51,280",23.64,"49,180"
Physical Therapist Assistants,"93,660",29.20,"60,740",29.42,"61,180"
Physical Therapist Aides,"42,390",14.60,"30,370",14.04,"29,200"
Other Healthcare Support Occupations,"1,656,660",18.93,"39,360",17.97,"37,370"
Massage Therapists,"81,030",23.68,"49,260",22.55,"46,910"
Miscellaneous Healthcare Support Occupations,"1,575,620",18.68,"38,860",17.94,"37,310"
Dental Assistants,"347,170",20.44,"42,510",18.59,"38,660"
Medical Assistants,"727,760",18.36,"38,190",17.88,"37,190"
Medical Equipment Preparers,"61,170",20.40,"42,420",18.37,"38,220"
Medical Transcriptionists,"55,830",16.45,"34,220",14.47,"30,100"
Pharmacy Aides,"43,560",16.61,"34,560",14.39,"29,930"
Veterinary Assistants and Laboratory Animal Caretakers,"98,970",15.28,"31,780",14.32,"29,780"
Phlebotomists,"132,750",18.49,"38,450",17.97,"37,380"
"Healthcare Support Workers, All Other","108,410",19.56,"40,690",18.14,"37,740"
Protective Service Occupations,"3,385,030",25.68,"53,420",22.40,"46,590"
Supervisors of Protective Service Workers,"342,810",38.95,"81,010",37.16,"77,290"
First-Line Supervisors of Law Enforcement Workers,"182,700",43.32,"90,110",39.15,"81,430"
First-Line Supervisors of Correctional Officers,"54,470",33.53,"69,750",29.91,"62,220"
First-Line Supervisors of Police and Detectives,"128,230",47.48,"98,760",47.76,"99,330"
First-Line Supervisors of Firefighting and Prevention Workers,"80,890",40.03,"83,270",37.61,"78,230"
"Miscellaneous First-Line Supervisors, Protective Service Workers","79,230",27.75,"57,730",25.23,"52,480"
First-Line Supervisors of Security Workers,"55,450",26.48,"55,080",24.15,"50,240"
"First-Line Supervisors of Protective Service Workers, All Other","23,780",30.73,"63,910",29.33,"61,010"
Firefighting and Prevention Workers,"334,670",26.88,"55,910",24.49,"50,930"
Firefighters,"317,310",26.58,"55,290",24.38,"50,700"
Fire Inspectors,"17,370",32.32,"67,230",30.33,"63,080"
Fire Inspectors and Investigators,"14,600",33.50,"69,680",31.06,"64,600"
Forest Fire Inspectors and Prevention Specialists,"2,770",26.12,"54,340",20.48,"42,600"
Law Enforcement Workers,"1,200,060",31.91,"66,370",29.42,"61,190"
"Bailiffs, Correctional Officers, and Jailers","409,020",25.66,"53,380",23.04,"47,920"
Bailiffs,"16,420",25.16,"52,340",23.23,"48,320"
Correctional Officers and Jailers,"392,600",25.69,"53,420",23.04,"47,920"
Detectives and Criminal Investigators,"107,890",43.45,"90,370",40.21,"83,640"
Fish and Game Wardens,"6,730",27.98,"58,190",29.20,"60,730"
Parking Enforcement Workers,"7,450",22.14,"46,050",22.40,"46,590"
Police Officers,"668,970",34.01,"70,740",31.06,"64,610"
Police and Sheriff's Patrol Officers,"665,380",34.02,"70,750",31.06,"64,610"
Transit and Railroad Police,"3,590",33.45,"69,570",31.21,"64,930"
Other Protective Service Workers,"1,507,480",17.44,"36,280",15.17,"31,550"
Animal Control Workers,"11,600",20.49,"42,620",18.83,"39,160"
Private Detectives and Investigators,"28,860",29.31,"60,970",28.55,"59,380"
Security Guards and Gambling Surveillance Officers,"1,066,280",17.24,"35,860",15.13,"31,470"
Gambling Surveillance Officers and Gambling Investigators,"9,190",18.31,"38,080",17.04,"35,450"
Security Guards,"1,057,100",17.23,"35,830",15.13,"31,470"
Miscellaneous Protective Service Workers,"400,740",17.04,"35,450",15.11,"31,430"
Crossing Guards and Flaggers,"82,690",17.15,"35,670",15.12,"31,450"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","114,320",13.14,"27,320",12.32,"25,630"
Transportation Security Screeners,"48,320",22.30,"46,380",21.86,"45,470"
School Bus Monitors,"55,310",14.53,"30,220",13.99,"29,100"
"Protective Service Workers, All Other","100,110",20.27,"42,160",18.37,"38,210"
Food Preparation and Serving Related Occupations,"11,201,480",14.16,"29,450",13.65,"28,400"
Supervisors of Food Preparation and Serving Workers,"1,170,410",19.77,"41,130",17.85,"37,130"
Chefs and Head Cooks,"129,810",27.37,"56,920",24.11,"50,160"
First-Line Supervisors of Food Preparation and Serving Workers,"1,040,600",18.82,"39,150",17.58,"36,570"
Cooks and Food Preparation Workers,"3,281,610",14.13,"29,380",13.99,"29,100"
Cooks,"2,498,260",14.21,"29,560",14.00,"29,120"
"Cooks, Fast Food","768,130",12.25,"25,490",11.63,"24,180"
"Cooks, Institution and Cafeteria","392,860",15.15,"31,520",14.38,"29,910"
"Cooks, Private Household",440,20.80,"43,260",20.63,"42,920"
"Cooks, Restaurant","1,193,860",15.21,"31,630",14.43,"30,010"
"Cooks, Short Order","124,800",13.51,"28,110",13.73,"28,560"
"Cooks, All Other","18,170",16.05,"33,390",14.77,"30,720"
Food Preparation Workers,"783,350",13.85,"28,810",13.84,"28,780"
Food and Beverage Serving Workers,"5,627,500",13.23,"27,520",12.50,"26,000"
Bartenders,"485,330",14.59,"30,340",12.67,"26,350"
Fast Food and Counter Workers,"3,095,120",12.53,"26,060",12.07,"25,100"
Waiters and Waitresses,"1,804,030",13.95,"29,010",12.50,"26,000"
"Food Servers, Nonrestaurant","243,030",14.19,"29,500",13.81,"28,730"
Other Food Preparation and Serving Related Workers,"1,121,960",13.06,"27,170",13.17,"27,400"
Dining Room and Cafeteria Attendants and Bartender Helpers,"336,970",13.31,"27,690",13.06,"27,170"
Dishwashers,"377,040",13.15,"27,350",13.52,"28,130"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","324,690",12.50,"26,000",11.83,"24,600"
Miscellaneous Food Preparation and Serving Related Workers,"83,240",13.83,"28,760",14.00,"29,120"
"Food Preparation and Serving Related Workers, All Other","83,240",13.83,"28,760",14.00,"29,120"
Building and Grounds Cleaning and Maintenance Occupations,"4,108,810",16.23,"33,750",14.54,"30,240"
Supervisors of Building and Grounds Cleaning and Maintenance Workers,"270,020",23.38,"48,620",22.42,"46,640"
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,"270,020",23.38,"48,620",22.42,"46,640"
First-Line Supervisors of Housekeeping and Janitorial Workers,"153,640",21.68,"45,100",19.05,"39,630"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","116,380",25.61,"53,270",23.46,"48,800"
Building Cleaning and Pest Control Workers,"2,862,840",15.19,"31,590",14.25,"29,640"
Building Cleaning Workers,"2,777,470",15.05,"31,310",14.20,"29,540"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","2,036,680",15.32,"31,860",14.31,"29,760"
Maids and Housekeeping Cleaners,"723,430",14.22,"29,580",13.84,"28,780"
"Building Cleaning Workers, All Other","17,350",18.52,"38,530",16.51,"34,350"
Pest Control Workers,"85,370",19.54,"40,640",18.05,"37,540"
Grounds Maintenance Workers,"975,950",17.29,"35,960",17.05,"35,460"
Landscaping and Groundskeeping Workers,"892,450",16.94,"35,240",16.55,"34,430"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","25,820",19.47,"40,500",18.40,"38,270"
Tree Trimmers and Pruners,"41,920",22.81,"47,450",22.58,"46,970"
"Grounds Maintenance Workers, All Other","15,770",18.81,"39,120",17.57,"36,540"
Personal Care and Service Occupations,"2,566,440",16.17,"33,620",14.16,"29,450"
Supervisors of Personal Care and Service Workers,"187,400",22.57,"46,950",21.67,"45,070"
First-Line Supervisors of Entertainment and Recreation Workers,"86,370",23.25,"48,370",22.62,"47,040"
First-Line Supervisors of Gambling Services Workers,"19,510",25.28,"52,590",23.63,"49,140"
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","66,860",22.66,"47,130",21.57,"44,870"
First-Line Supervisors of Personal Service Workers,"101,030",21.99,"45,730",19.42,"40,390"
Animal Care and Service Workers,"241,520",14.47,"30,100",13.81,"28,730"
Animal Trainers,"15,840",18.38,"38,230",15.04,"31,280"
Animal Caretakers,"225,680",14.19,"29,520",13.75,"28,600"
Entertainment Attendants and Related Workers,"418,960",13.06,"27,170",12.00,"24,960"
Gambling Services Workers,"82,860",14.11,"29,340",12.32,"25,630"
Gambling Dealers,"64,700",13.92,"28,960",12.00,"24,960"
Gambling and Sports Book Writers and Runners,"7,340",14.00,"29,110",13.24,"27,530"
"Gambling Service Workers, All Other","10,820",15.28,"31,790",13.94,"28,990"
Motion Picture Projectionists,"1,620",15.85,"32,970",14.11,"29,350"
"Ushers, Lobby Attendants, and Ticket Takers","54,970",12.69,"26,390",11.75,"24,440"
Miscellaneous Entertainment Attendants and Related Workers,"279,510",12.81,"26,650",11.93,"24,800"
Amusement and Recreation Attendants,"262,170",12.55,"26,110",11.78,"24,500"
Costume Attendants,"3,380",26.25,"54,590",23.00,"47,850"
"Locker Room, Coatroom, and Dressing Room Attendants","9,670",14.53,"30,220",13.74,"28,570"
"Entertainment Attendants and Related Workers, All Other","4,290",14.27,"29,680",11.62,"24,170"
Funeral Service Workers,"63,300",20.58,"42,800",17.54,"36,490"
Embalmers and Crematory Operators,"6,110",22.77,"47,350",21.62,"44,960"
Embalmers,"4,070",24.62,"51,210",22.97,"47,780"
Crematory Operators,"2,040",19.07,"39,660",18.03,"37,490"
Funeral Attendants,"32,490",15.21,"31,630",14.05,"29,230"
"Morticians, Undertakers, and Funeral Arrangers","24,700",27.10,"56,360",23.53,"48,950"
Personal Appearance Workers,"481,530",16.99,"35,350",14.22,"29,590"
"Barbers, Hairdressers, Hairstylists and Cosmetologists","298,880",17.30,"35,980",14.27,"29,680"
Barbers,"12,910",17.16,"35,700",14.41,"29,970"
"Hairdressers, Hairstylists, and Cosmetologists","285,980",17.30,"35,990",14.26,"29,670"
Miscellaneous Personal Appearance Workers,"182,640",16.50,"34,310",14.16,"29,450"
"Makeup Artists, Theatrical and Performance","1,960",59.80,"124,380",64.78,"134,750"
Manicurists and Pedicurists,"120,540",14.65,"30,480",14.05,"29,210"
Shampooers,"9,560",12.09,"25,160",11.75,"24,440"
Skincare Specialists,"50,580",20.05,"41,700",17.93,"37,300"
"Baggage Porters, Bellhops, and Concierges","54,100",16.68,"34,680",14.77,"30,720"
Baggage Porters and Bellhops,"20,530",14.44,"30,040",14.00,"29,120"
Concierges,"33,560",18.04,"37,520",16.93,"35,210"
Tour and Travel Guides,"30,980",15.96,"33,200",14.32,"29,780"
Other Personal Care and Service Workers,"1,088,670",15.99,"33,260",14.20,"29,540"
Childcare Workers,"438,520",13.31,"27,680",13.22,"27,490"
Recreation and Fitness Workers,"485,620",18.43,"38,340",14.87,"30,930"
Exercise Trainers and Group Fitness Instructors,"221,600",22.05,"45,870",19.57,"40,700"
Recreation Workers,"264,020",15.39,"32,020",14.27,"29,680"
Residential Advisors,"92,500",16.81,"34,950",15.01,"31,220"
Miscellaneous Personal Care and Service Workers,"72,030",14.80,"30,790",14.24,"29,610"
"Personal Care and Service Workers, All Other","72,030",14.80,"30,790",14.24,"29,610"
Sales and Related Occupations,"13,256,290",22.15,"46,080",14.71,"30,600"
Supervisors of Sales Workers,"1,387,190",26.38,"54,880",22.52,"46,850"
First-Line Supervisors of Sales Workers,"1,387,190",26.38,"54,880",22.52,"46,850"
First-Line Supervisors of Retail Sales Workers,"1,143,260",22.54,"46,890",18.86,"39,230"
First-Line Supervisors of Non-Retail Sales Workers,"243,920",44.38,"92,320",38.31,"79,680"
Retail Sales Workers,"7,665,410",14.45,"30,060",13.79,"28,680"
Cashiers,"3,335,170",12.88,"26,780",13.12,"27,280"
Cashiers,"3,318,020",12.87,"26,770",13.11,"27,260"
Gambling Change Persons and Booth Cashiers,"17,150",14.00,"29,130",13.75,"28,600"
Counter and Rental Clerks and Parts Salespersons,"636,750",17.54,"36,480",15.28,"31,780"
Counter and Rental Clerks,"371,620",17.39,"36,170",15.06,"31,330"
Parts Salespersons,"265,130",17.75,"36,920",16.47,"34,260"
Retail Salespersons,"3,693,490",15.35,"31,920",14.00,"29,120"
"Sales Representatives, Services","2,009,700",35.95,"74,770",29.11,"60,550"
Advertising Sales Agents,"96,660",31.99,"66,540",25.16,"52,340"
Insurance Sales Agents,"422,600",33.34,"69,340",23.96,"49,840"
"Securities, Commodities, and Financial Services Sales Agents","426,870",44.84,"93,260",30.25,"62,910"
Travel Agents,"37,190",22.39,"46,580",21.06,"43,810"
"Miscellaneous Sales Representatives, Services","1,026,390",34.19,"71,110",29.11,"60,550"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","1,026,390",34.19,"71,110",29.11,"60,550"
"Sales Representatives, Wholesale and Manufacturing","1,508,660",37.38,"77,750",30.24,"62,890"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","266,160",49.40,"102,750",45.60,"94,840"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1,242,490",34.81,"72,390",29.61,"61,600"
Other Sales and Related Workers,"685,330",25.76,"53,580",17.59,"36,590"
"Models, Demonstrators, and Product Promoters","42,670",19.01,"39,550",15.73,"32,730"
Demonstrators and Product Promoters,"40,680",17.78,"36,990",15.55,"32,350"
Models,"2,000",*,*,*,*
Real Estate Brokers and Sales Agents,"224,380",32.16,"66,880",23.45,"48,770"
Real Estate Brokers,"48,460",41.58,"86,490",29.81,"62,010"
Real Estate Sales Agents,"175,920",29.56,"61,480",23.24,"48,340"
Sales Engineers,"59,550",57.03,"118,630",49.86,"103,710"
Telemarketers,"115,130",14.74,"30,670",13.90,"28,910"
Miscellaneous Sales and Related Workers,"243,600",18.61,"38,720",14.22,"29,570"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","7,860",16.81,"34,970",14.13,"29,390"
"Sales and Related Workers, All Other","235,740",18.67,"38,840",14.22,"29,570"
Office and Administrative Support Occupations,"18,299,380",20.88,"43,430",18.29,"38,050"
Supervisors of Office and Administrative Support Workers,"1,443,630",30.47,"63,380",29.13,"60,590"
First-Line Supervisors of Office and Administrative Support Workers,"1,443,630",30.47,"63,380",29.13,"60,590"
Communications Equipment Operators,"53,400",16.98,"35,310",14.77,"30,720"
"Switchboard Operators, Including Answering Service","48,190",16.63,"34,590",14.50,"30,150"
Telephone Operators,"3,870",18.93,"39,370",18.09,"37,630"
Miscellaneous Communications Equipment Operators,"1,340",23.79,"49,470",22.60,"47,000"
"Communications Equipment Operators, All Other","1,340",23.79,"49,470",22.60,"47,000"
Financial Clerks,"2,768,230",20.84,"43,340",18.67,"38,830"
Bill and Account Collectors,"212,900",19.85,"41,280",18.13,"37,700"
Billing and Posting Clerks,"429,080",20.55,"42,750",18.43,"38,330"
"Bookkeeping, Accounting, and Auditing Clerks","1,509,370",21.70,"45,140",21.90,"45,560"
Gambling Cage Workers,"11,140",14.79,"30,770",14.12,"29,360"
Payroll and Timekeeping Clerks,"149,290",23.83,"49,560",22.89,"47,610"
Procurement Clerks,"61,930",21.60,"44,930",21.71,"45,150"
Tellers,"364,210",16.79,"34,930",17.46,"36,310"
Miscellaneous Financial Clerks,"30,310",23.00,"47,830",22.55,"46,900"
"Financial Clerks, All Other","30,310",23.00,"47,830",22.55,"46,900"
Information and Record Clerks,"5,461,400",18.59,"38,670",17.68,"36,770"
Brokerage Clerks,"39,980",27.75,"57,710",25.96,"54,000"
Correspondence Clerks,"7,060",20.06,"41,710",18.23,"37,920"
"Court, Municipal, and License Clerks","150,170",21.57,"44,870",21.45,"44,610"
"Credit Authorizers, Checkers, and Clerks","16,820",21.42,"44,540",21.49,"44,710"
Customer Service Representatives,"2,787,070",18.79,"39,070",17.75,"36,920"
"Eligibility Interviewers, Government Programs","151,340",23.35,"48,570",22.80,"47,420"
File Clerks,"85,460",17.70,"36,820",17.48,"36,360"
"Hotel, Motel, and Resort Desk Clerks","220,380",13.48,"28,040",13.50,"28,080"
"Interviewers, Except Eligibility and Loan","169,840",18.67,"38,840",17.89,"37,220"
"Library Assistants, Clerical","78,470",15.62,"32,490",14.16,"29,450"
Loan Interviewers and Clerks,"238,610",21.59,"44,910",22.09,"45,940"
New Accounts Clerks,"40,500",19.83,"41,250",18.19,"37,840"
Order Clerks,"133,850",20.11,"41,820",18.23,"37,920"
"Human Resources Assistants, Except Payroll and Timekeeping","102,770",21.56,"44,840",21.94,"45,630"
Receptionists and Information Clerks,"983,150",15.82,"32,910",14.40,"29,950"
Reservation and Transportation Ticket Agents and Travel Clerks,"100,860",21.94,"45,630",19.18,"39,900"
Miscellaneous Information and Record Clerks,"155,080",21.13,"43,950",20.75,"43,160"
"Information and Record Clerks, All Other","155,080",21.13,"43,950",20.75,"43,160"
"Material Recording, Scheduling, Dispatching, and Distributing Workers","2,213,750",21.97,"45,710",20.21,"42,030"
Cargo and Freight Agents,"85,750",23.28,"48,420",22.55,"46,910"
Couriers and Messengers,"68,310",16.48,"34,270",15.89,"33,050"
Dispatchers,"291,380",22.49,"46,780",21.88,"45,510"
Public Safety Telecommunicators,"97,050",22.61,"47,030",22.44,"46,670"
"Dispatchers, Except Police, Fire, and Ambulance","194,330",22.43,"46,650",21.18,"44,050"
"Meter Readers, Utilities","24,000",22.81,"47,430",21.98,"45,720"
Postal Service Workers,"527,000",25.71,"53,480",24.87,"51,730"
Postal Service Clerks,"79,320",25.58,"53,210",25.14,"52,290"
Postal Service Mail Carriers,"335,540",26.14,"54,370",25.21,"52,440"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","112,130",24.52,"51,010",23.34,"48,550"
"Production, Planning, and Expediting Clerks","367,200",25.11,"52,220",23.10,"48,040"
"Shipping, Receiving, and Inventory Clerks","795,360",18.37,"38,210",17.74,"36,890"
